Date,Product,UnitPrice,Quantity,TotalSales
2025-01-01,Almond Croissant,85,2,170
2025-01-01,Carrot Cake,110,1,110
2025-01-01,Chamomile Tea,55,1,55
2025-01-01,Chocolate Fudge Cake,105,1,105
2025-01-01,Coffee Frappe,95,2,190
2025-01-01,Cold Brew,90,2,180
2025-01-01,Earl Grey Tea,55,4,220
2025-01-01,Espresso,60,4,240
2025-01-01,Flat White,75,1,75
2025-01-01,Ham & Cheese Sandwich,85,1,85
2025-01-01,Hot Americano,65,1,65
2025-01-01,Hot Cappuccino,75,1,75
2025-01-01,Hot Chocolate,70,1,70
2025-01-01,Hot Matcha Latte,80,3,240
2025-01-01,Hot Mocha,80,1,80
2025-01-01,Hot Thai Tea,60,4,240
2025-01-01,Iced Americano,70,2,140
2025-01-01,Iced Caramel Macchiato,90,3,270
2025-01-01,Iced Latte,80,1,80
2025-01-01,Iced Lemon Tea,65,2,130
2025-01-01,Iced Mocha,85,1,85
2025-01-01,New York Cheesecake,120,1,120
2025-01-01,Pain au Chocolat,80,1,80
2025-01-01,Peach Tea,65,1,65
2025-01-01,Sausage Roll,75,1,75
2025-01-01,Spinach Quiche,95,5,475
2025-01-01,Tiramisu,125,1,125
2025-01-02,Almond Croissant,85,2,170
2025-01-02,Banoffee Pie,100,2,200
2025-01-02,Blueberry Muffin,60,2,120
2025-01-02,Butter Croissant,65,1,65
2025-01-02,Chamomile Tea,55,1,55
2025-01-02,Chocolate Chip Cookie,45,1,45
2025-01-02,Chocolate Fudge Cake,105,1,105
2025-01-02,Coffee Frappe,95,3,285
2025-01-02,Cold Brew,90,1,90
2025-01-02,Earl Grey Tea,55,1,55
2025-01-02,Espresso,60,2,120
2025-01-02,Flat White,75,2,150
2025-01-02,Fudgy Brownie,75,1,75
2025-01-02,Ham & Cheese Sandwich,85,2,170
2025-01-02,Hot Americano,65,4,260
2025-01-02,Hot Cappuccino,75,1,75
2025-01-02,Hot Chocolate,70,3,210
2025-01-02,Hot Latte,75,2,150
2025-01-02,Hot Matcha Latte,80,2,160
2025-01-02,Hot Mocha,80,1,80
2025-01-02,Hot Thai Tea,60,1,60
2025-01-02,Iced Americano,70,2,140
2025-01-02,Iced Caramel Macchiato,90,2,180
2025-01-02,Iced Chocolate,80,2,160
2025-01-02,Iced Lemon Tea,65,3,195
